target,0nn,1nn,2nn,3nn,4nn
安宅里˙嶼仔尖塔,重光里˙凌霄寶塔,沙港村˙大尾尖頂塔,龍門村˙石塔,小門村˙鐵鑠石塔,青螺村˙陽明妙塔
小門村˙鐵鑠石塔,沙港村˙大尾尖頂塔,龍門村˙石塔,青螺村˙陽明妙塔,重光里˙凌霄寶塔,安宅里˙嶼仔尖塔
龍門村˙石塔,重光里˙凌霄寶塔,小門村˙鐵鑠石塔,安宅里˙嶼仔尖塔,沙港村˙大尾尖頂塔,青螺村˙陽明妙塔
青螺村˙陽明妙塔,重光里˙凌霄寶塔,小門村˙鐵鑠石塔,沙港村˙大尾尖頂塔,龍門村˙石塔,安宅里˙嶼仔尖塔
沙港村˙大尾尖頂塔,小門村˙鐵鑠石塔,重光里˙凌霄寶塔,青螺村˙陽明妙塔,安宅里˙嶼仔尖塔,龍門村˙石塔
竹灣,中澳沙灘,菜園休閒漁業區,布袋海上巴士,富山漁業資源保育區,蚵寮漁港
順承門,媽宮古城,媽宮城隍廟,西嶼東臺,忠誠門,大武崙砲台
南海遊客中心,岐頭遊客中心,吉貝遊客中心,南海遊客服務中心,北海遊客服務中心,討海文化館
澎湖遊客中心,北海遊客服務中心,鯉魚潭遊客中心,南海遊客服務中心,三仙台遊客中心,水里火車站鐵馬驛站
菜園休閒漁業區,大武漁港,富山漁業資源保育區,不一樣鱷魚生態農場,布袋觀光漁市,菜園濕地
鎖港南北石塔,鎖港里南北石塔,小門村˙鐵鑠石塔,沙港村˙大尾尖頂塔,鎖港鎮風石塔,青螺村˙陽明妙塔
風櫃洞,風櫃洞,海現龍闕,澎澎灘（活龍灘）,桶盤嶼,隘門沙灘(含林投沙灘)
蛇頭山,風櫃尾蛇頭山荷蘭城堡遺址,安平古堡,松子腳砲臺遺址,蛇頭山遊憩園區,東昌營區
虎井嶼遊憩區,虎井嶼,虎井西山公園,神祕小海灣,大埔石刻,媽宮城隍廟
桶盤地質公園,桶盤嶼,青灣玄武岩,大峰峰火山頸,大菓葉柱狀玄武岩,風櫃洞
林投公園,林投公園,獅頭山公園(獅頭山步道),衛武營都會公園,勝天公園,大武崙砲台
菓葉觀日樓,菓葉日出,菓葉灰窯,思源埡口,永鎮海濱公園,真柄部落
岐頭遊客中心,南海遊客中心,吉貝遊客中心,南海遊客服務中心,三仙台遊客中心,北海遊客服務中心
吉貝遊客中心,岐頭遊客中心,南海遊客中心,布農族文物館,大塭觀光休閒養殖場,南海遊客服務中心
小門嶼,鳥嶼,員貝嶼,海現龍闕,桶盤嶼,鯨魚洞
小門地質探索館,龍門商港,澎湖生活博物館,將軍嶼,觀音亭休憩園區,澎湖水族館
大菓葉柱狀玄武岩,大菓葉柱狀玄武岩,員貝嶼,大埔石刻,花嶼、花嶼燈塔,中柱島
西嶼東臺軍事史蹟園區,東昌營區,西嶼西臺（西臺古堡）,西嶼東臺,西嶼銅牆鐵壁彈藥本庫,五孔頂
七美人塚,七美人塚,虎井嶼遊憩區,烈女義坑,紅毛井,七步迴音谷
望夫石,望夫石,神祕小海灣,鯉灣遊憩區,雙心石滬,西嶼池西虎目滬
鯉灣遊憩區,鯉灣遊憩區,南灣碼頭遊憩區,員貝嶼,菜浦澳,深澳漁港
龍埕,海現龍闕,七美大獅風景區,海參坪,龍洞灣岬步道,金山跳石海岸
小台灣,小台灣,小門嶼,七美－下巷,鳥嶼,燭臺雙嶼
雙心石滬,七美雙心石滬,望夫石,野柳地質公園,望夫石,獅頭山公園(獅頭山步道)
南嶼城,七美南嶼城,西嶼東臺,建功嶼,西嶼西臺（西臺古堡）,員貝嶼
望安綠蠵龜觀光保育中心,綠蠵龜觀光保育中心,龜殼生態公園,永鎮海濱公園,特有生物研究保育中心,潭門港
天台山,燭臺雙嶼,海參坪,大峰峰火山頸,牛頭山、樓門岩,龍埕
鴛鴦窟、藏軍洞,望安－鴛鴦窟、藏軍洞（震洋艇基地）,復國墩觀景台,大埔石刻,柚子湖,蛇頭山遊憩園區
將軍澳嶼,風櫃東港、西港、北港,烏石港,將軍嶼,富基漁港,下罟子漁港
新光兆豐休閒農場,青林農場,富田香草休閒農場(富田花園農場),頭城農場,台糖牧野渡假村,文山農場
鳳凰山莊(賽斯村),太平山國家森林遊樂區,龍鳳瀑布,武荖坑風景區,陽明山國家公園,滿月圓國家森林遊樂區
菸樓文化聚落,紅葉菸樓,鹿滿菸樓,三界埔社區,竹崎鹿滿客家文化園區,松山文創園區
箭瑛公園,吳鳳故居,鄭漢步道,鹿港南靖宮,陳永華墓(陳永華總制夫婦古墓),雙鯉古地關帝宮
瑞穗泛舟服務中心,秀姑巒溪泛舟中心,秀姑巒溪,關山親水公園,新店溪河濱自行車道,石門長濱自行車道
瑞穗、紅葉地區溫泉,瑞穗溫泉,紅葉溫泉,新北投溫泉區,安通溫泉,安通溫泉區
北回歸線標誌公園,北回歸線地標,北回歸線,玉長公路,瑞芳火車站,延平河濱公園
安通溫泉區,安通溫泉,紅葉溫泉,瑞穗、紅葉地區溫泉,國姓北港溪溫泉,新北投溫泉區
羅山遊憩區,石夢谷,青蛙石大峽谷,十八羅漢山風景區,草蘭溪攔沙壩大瀑布,大羅蘭溪
布農部落休閒農場,喜樂發發森林公園,板橋農村公園,香格里拉樂園,拉芙蘭藝術村,布農族文物館
霧鹿峽谷,天龍吊橋,碧山溫泉,奮起步道,青山瀑布步道,卑南上圳
山里車站與山里教堂,天送埤車站,勝興陶坊(原十六份文化館),林鳳營車站,東里車站與東里鐵馬驛站,水社寮風景區
鈺展苗圃（落羽松秘境）,八德落羽松森林,雲山水植物農場,竹安溪口,四十二份坪,鯉魚潭
雲山水植物農場,蜊埤湖,仙井瀑布,八德落羽松森林,臺東森林公園,鈺展苗圃（落羽松秘境）
興泉圳風鈴木,小粗坑古道,秋紅谷廣場,知本圳親水公園,藤山步道,三芝田心子
拉索埃生態園區,蝴蝶谷,吉利潭,知本圳親水公園,三芝田心子,杉林溪森林生態渡假園區
大農大富平地森林園區,青桐林生態園區,台大下坪自然教育園區,太平山國家森林遊樂區,陽明山國家公園,雙春濱海遊憩區
富興森林小火車,東勢梨文化館,旺萊山鳳梨文化園區,新埔梨村農場,和豐農園,三灣梨鄉休閒農業區
東里車站與東里鐵馬驛站,宜蘭伯朗大道,橫山梯田,池上浮圳,社子島環島與二重疏洪道自行車道,黃金小鎮
玉富自行車道,玉長公路,東光園道,十分車站,三貂嶺隧道自行車道,舊草嶺環狀自行車道
武陵綠色隧道,萬豐環山步道,臥龍坡步道,新屋綠色走廊,綠色隧道,綠色隧道
吉利潭,霄裡大池(霄裡池),遠望坑親水公園,知本圳親水公園,卑南上圳,涵碧步道
霧鹿砲台,初來抗日紀念碑,大武崙砲台,松子腳砲臺遺址,李崠山步道,西台餌砲（外垵餌砲）
吉蒸牧場,瑞穗牧場,乳牛的家,新光兆豐休閒農場,幸褔農場,柳營區八翁酪農專業區
鯉魚潭遊客中心,關山親水公園,鯉魚潭,金湖休閒農業區,石門水庫,北門自行車道
鶴岡遊客中心,鶴岡文旦觀光果園,柚花香道,陽明山國家公園,藤山步道,仁山植物園
羅山遊客中心,羅山遊憩區,橫山梯田,美崙山公園,福興南和自行車道,水湳洞
鹿野遊客中心,鹿谷鄉農會茶業文化館,舞鶴觀光茶園,綠光農園,天仁茶文化館,遊山茶訪
卑南遊客中心,禮納里部落,南化遊客中心,禮納里環區步道,禮納里遊客中心,南庄遊客中心
東華大學,國立東華大學,佛光大學校園,美崙山公園,蜊埤湖,國立清華大學
紅葉菸樓,菸樓文化聚落,鹿滿菸樓,三界埔社區,松菸小賣所,豐田移民村﹙菸樓﹚
馬太鞍休閒農業區,竹安溪口,馬太鞍濕地生態園區,七股紅樹林保護區,奇美原住民文物館,澳底海鮮街
玩樂大鵬灣,大鵬灣國家風景區,高雄港,蘇澳港,淡水海關碼頭園區,大倉嶼
環灣自行車道,環灣自行車道,宜蘭濱海自行車道,社子島環島與二重疏洪道自行車道,臺東森林公園,濱海自行車道
大鵬灣遊客中心,馬祖國家風景區管理處&遊客中心,大鵬灣國家風景區,玩樂大鵬灣,桃園市兒童美術館,壽山動物園
東港魚市場,大溪漁港,富基漁港,東港海鮮街,大武漁港,旗津觀光漁港
東港漁港漁產品直銷中心(原華僑市場),華僑市場,東港魚市場,大溪漁港,東港海鮮街,富基漁港
鵬灣跨海大橋,星光橋,高美濕地景觀橋,映霞橋亭,關渡大橋,大鵬灣國家風景區
濱灣公園(帆船基地),中角灣(中角灣國際衝浪基地),龍洞四季灣,內埤海灘,龍洞灣海洋公園,烏石港遊客中心
人工溼地公園,鵬村濕地,大潭濕地,太平溪人工濕地,山水濕地公園,新良人工濕地
潟湖,觀海長堤,磯崎海濱休憩區,復國墩觀景台,南灣碼頭遊憩區,石門長濱自行車道
蚵殼島,中流嶼,小門嶼,秘密沙灘,將軍嶼,大倉嶼
大潭濕地,鵬村濕地,山水濕地公園,人工溼地公園,太平溪人工濕地,新良人工濕地
鵬村濕地,大潭濕地,人工溼地公園,太平溪人工濕地,集集攔河堰,名間新街冷泉濕地
右岸濕地,左岸溼地,大潭濕地,崎峰濕地,鵬村濕地,人工溼地公園
左岸溼地,右岸濕地,崎峰濕地,鵬村濕地,大潭濕地,人工溼地公園
崎峰濕地,右岸濕地,左岸溼地,大潭濕地,鳳崎晚霞,鳥松濕地
東港海鮮街,大溪漁港,東港魚市場,旗津觀光漁港,富基漁港,南寧魚市場
烏鬼洞,烏鬼井,五孔洞,神祕小海灣,大天池,日月潭水社親水步道
蛤板灣沙灘,蛤板灣風景區,白沙灣海水浴場,嵵裡沙灘,內垵遊憩區,八代灣
白燈塔,西嶼燈塔（漁翁島燈塔）,東湧燈塔(東引島燈塔),東湧燈塔,七美嶼燈塔,野柳燈塔
美人洞,厚石裙礁,小灣海水浴場,青螺沙灘,肚仔坪,內埤海灣
山豬溝,山豬溝風景區,神祕小海灣,厚石裙礁,烈女義坑,員貝嶼
厚石裙礁,海參坪,中柱港,蛤板灣風景區,復國墩觀景台,員貝嶼
碧雲寺,文興宮,崑慈堂,左鎮北極殿,昭慶禪寺,三寮灣東隆宮
三隆宮,三寮灣東隆宮,北門東隆宮,新塭嘉應廟,馬公北甲北辰宮,蘇厝真護宮
大寮(大福)漁港,赤崁碼頭,將軍漁港,大武漁港,福澳港,萡子寮濱海遊憩區(萡子寮漁港)
中澳沙灘,員貝嶼,險礁嶼,赤崁碼頭,吉貝島,青螺沙灘
四重溪溫泉區,不老溫泉渡假村,安通溫泉,安通溫泉區,瑞穗、紅葉地區溫泉,新北投溫泉區
七孔瀑布,十分瀑布公園,情人谷,三貂嶺瀑布步道,新港(彩虹)瀑布,雲森瀑布
九棚大沙漠,海口港,內垵遊憩區,白沙灣海水浴場,基隆山,網仔寮沙洲
鵝鑾鼻,龍坑自然生態保護區,白燈塔,帆船鼻,外傘頂洲,西嶼燈塔（漁翁島燈塔）
龍坑自然生態保護區,桶盤嶼,海現龍闕,復國墩觀景台,龍頭岩,三仙台風景區
白砂灣,白沙灣海水浴場,內垵遊憩區,蛤板灣沙灘,觀星公園,山水漁港
瓊麻工業歷史展示區,淡水海關碼頭園區,成廣澳文化地景(廣恆發遺跡),東石環保公園,麻豆文化館,逸仙公園
小灣,小灣海水浴場,嵵裡沙灘,秘密沙灘,中流嶼,蛤板灣風景區
落日灣,麗山農民廣場_麗山公園,百年埤塘,老街溪水岸自行車道,鯤喜灣文化園區,牛埔農塘
映霞橋亭,南崁溪水岸自行車道,星光橋,內葉翅吊橋,興大康橋,關山親水公園
三孔橋,柳川水岸步道,西瀛虹橋,鵬灣跨海大橋,永興吊橋,星光橋
公二平台(水域遊憩新場所),海洋客家牽罟文化館,玩樂大鵬灣,大鵬灣國家風景區,龍洞灣海洋公園,後湖溪生態園區
周大觀讀出希望中心,紀州庵文學森林,東海大學_路思義教堂,大鵬灣遊客中心,麗山農民廣場_麗山公園,文山農場
白沙港,講美鎮海社區海堤公園,福正聚落,淡水海關碼頭園區,白馬文武大王廟,淡水福佑宮
壁山,壁山觀景,南子吝步道,馬那邦山登山步道,白馬亭,雲臺山
莒光遊客中心,三連嶼,墾丁青年活動中心,馬祖國家風景區管理處&遊客中心,華源海灣,奚卜蘭遊客中心(新太平洋一號店)
三連嶼,莒光遊客中心,白馬尊王廟,富士坪古道,白馬文武大王廟,LaLu島(拉魯)
福正聚落,白馬文武大王廟,金板境天后宮,碧山巖開漳聖王廟,大里天公廟(草嶺慶雲宮),豐田碧蓮寺（中山公園）
神祕小海灣,大埔石刻,菜浦澳,海現龍闕,大里天公廟(草嶺慶雲宮),永鎮海濱公園
大浦聚落,福正聚落,蘇澳港,后澳村,獅頭山公園(獅頭山步道),魚路古道
熾坪隴考古遺址,都蘭遺址,長光遺址,大埔石刻,芝山文化生態綠園_芝山岩展示館,掃叭石柱
魚路古道,小粗坑古道,二八彎古道,大浦聚落,百吉林蔭步道,八里渡船頭老街
大埔石刻,神祕小海灣,海現龍闕,熾坪隴考古遺址,午沙北海坑道,一線天
林坳嶼,西牛嶼,大倉嶼,中柱港,將軍嶼,靜伏鱷魚
西牛嶼,員貝嶼,大武漁港,豆腐岬風景區,大倉嶼,吉貝島
中流嶼,員貝嶼,吉貝島,大倉嶼,中澳沙灘,西嶼池西虎目滬
菜浦澳,神祕小海灣,海現龍闕,石門長濱自行車道,員貝嶼,菜埔澳
樂道澳,燕秀潮音,卑南上圳,興仁水庫,桶後溪,真柄部落
北竿遊客中心,(土反)里古厝,羅屋書院,石店子69有機書店,林園安樂樓,篤行十村眷村文化保存園區
碧園,萬豐環山步道,福州山公園,臺東農場,牛埔農塘,穎達生態休閒農場
龜島,神祕小海灣,大埔石刻,淡水福佑宮,大里天公廟(草嶺慶雲宮),鶯山廟
塘后道沙灘,白沙灣水域遊憩區,內垵遊憩區,白沙灣海水浴場,赤馬沙灘,菜浦澳
后澳村,永鎮海濱公園,大浦聚落,蘇澳晉安宮(張公廟),福正聚落,白沙港
戰爭和平紀念公園主題館,中正堂觀日平台,勝利新村-將軍之屋,忠誠門,戰爭與和平紀念公園主題館,1895八卦山抗日保台史蹟館
螺山自然步道,石門長濱自行車道,勝天公園,蜜月灣,四十二份坪,獅頭山公園(獅頭山步道)
八八坑道,馬祖酒廠,馬祖酒廠東引展售中心,粗坑口登山步道,八通關社寮古道,八仙洞
馬祖酒廠,馬祖酒廠東引展售中心,花蓮觀光酒廠,民俗文物館,宜蘭酒廠(甲子蘭酒文物館),八八坑道
牛角聚落,大浦聚落,卯澳漁港,許家村與彩繪壁畫,講美鎮海社區海堤公園,勝天公園
蔬菜公園,番婆林觀光花園,碧園,台北花市,陽光綠堤休閒農場,青林農場
福清自行車道,親民步道,舊草嶺環狀自行車道,宜蘭濱海自行車道,七星潭自行車道,大鵬環灣車道
民俗文物館,馬祖故事館,經國先生紀念堂,東隆宮王爺信仰文物館,大甲鎮瀾宮,宗聖公祠
經國先生紀念堂,福山照壁－枕戈待旦,孫運璿科技．人文紀念館,民俗文物館,嘉義公園,第一賓館
勝利山莊,梨山遊客中心,雲台山軍情館,哨船頭山碉堡(西子灣),戰爭和平紀念公園主題館,玉山國家公園管理處
媽祖巨神像,媽祖石神像,巨榕古廟步道,淡水福佑宮,清海宮,旗津天后宮
白馬文武大王廟,福正聚落,金板境天后宮,碧山巖開漳聖王廟,淡水福佑宮,延平郡王祠
秋桂亭,桃源谷,遠望坑親水公園,吉利潭,青山瀑布步道,海口港
勝天公園,杉林溪森林生態渡假園區,霄裡大池(霄裡池),墾丁青年活動中心,青灣仙人掌公園（暫停營業）,螺山自然步道
津仁與馬港步道,挑水古道,日月潭自行車道-水社段,小粗坑古道,赤馬沙灘,午沙北海坑道
鐵堡..,海現龍闕,復國墩觀景台,一線天,望安－鴛鴦窟、藏軍洞（震洋艇基地）,紅土溝三營區L-36據點
金板境天后宮,旗津天后宮,大甲鎮瀾宮,天后宮,內埔天后宮,宗聖公祠
馬祖國家風景區管理處&遊客中心,墾丁青年活動中心,東石漁人碼頭,東引遊客中心,馬沙溝海洋休閒運動渡假中心,勝天公園
大漢據點,大武崙砲台,龍門閉鎖陣地,西台餌砲（外垵餌砲）,五孔頂,午沙北海坑道
印地安人頭岩,石門長濱自行車道,南田海岸親水公園,七美大獅風景區,海參坪,獅頭山公園(獅頭山步道)
雲台山軍情館,雲臺山,馬祖國家風景區管理處&遊客中心,哨船頭山碉堡(西子灣),戰爭和平紀念公園主題館,大漢據點
藍眼淚生態館,菜浦澳,北竿遊客中心,富田香草休閒農場(富田花園農場),馬沙溝海洋休閒運動渡假中心,塘后道沙灘
中柱港,員貝嶼,三仙台風景區,加母子灣,海現龍闕,石門長濱自行車道
東引遊客中心,馬祖國家風景區管理處&遊客中心,禮納里遊客中心,梨山遊客中心,玉山國家公園管理處,白沙灣遊客中心
忠誠門,新北勢庄東柵門,西嶼東臺,勝利新村-將軍之屋,滬尾礮臺(新北市立淡水古蹟博物館),大武崙砲台
東海雄風,南方澳觀景台,南方澳觀景台旁步道,蘇澳港,內埤海灣,深澳漁港
海現龍闕,員貝嶼,復國墩觀景台,蛤板灣風景區,中柱港,石門長濱自行車道
馬祖酒廠東引展售中心,馬祖酒廠,花蓮觀光酒廠,宜蘭酒廠(甲子蘭酒文物館),隆田酒廠北蟲草文化展示園區,善化啤酒觀光工廠
燕秀潮音,墾丁青年活動中心,海口港,海現龍闕,神祕小海灣,石門長濱自行車道
烈女義坑,一線天,神祕小海灣,大埔石刻,望夫石,印地安人頭岩
一線天,大埔石刻,龍洞灣岬步道,太白天聲,午沙北海坑道,烈女義坑
太白天聲,金山跳石海岸,海參坪,龍埕,一線天,龍洞岩場
東湧燈塔(東引島燈塔),東湧燈塔,西嶼燈塔（漁翁島燈塔）,西嶼燈塔（同漁翁島燈塔）,高雄燈塔(旗津旗后燈塔),綠島燈塔
中柱島,東吉嶼燈塔,赤嶼（摩西分海）,池西岩瀑,淡水海關碼頭園區,一線天
感恩亭,馬公觀音亭休閒園區,觀音亭休憩園區,蔣渭水紀念公園,勝天公園,馬祖國家風景區管理處&遊客中心
和尚看經,和尚看經,虎井嶼遊憩區,大埔石刻,鶯山廟,一線天
靜伏鱷魚,中柱港,神祕小海灣,三仙台風景區,海現龍闕,萊萊地質區
羅漢坪,國之北疆,料羅海濱公園,大埔石刻,神祕小海灣,海現龍闕
后澳,小門嶼,海現龍闕,和美漁港,桶盤嶼,青灣玄武岩
國之北疆,海現龍闕,復國墩觀景台,員貝嶼,基翬漁港,厚石裙礁
猫囒山茶業改良場,新北市坪林茶業博物館,台灣農林大寮茶文館,猫囒山步道,碧湖觀景台,文山農場
猫囒山步道,猫囒山茶業改良場,二尖山步道,碧湖觀景台,二尖山,草坪頭玉山茶園
雙龍瀑布七彩吊橋,龍鳳瀑布,中寮鄉龍鳳瀑布空中步道,霧鹿峽谷,蛟龍瀑布,內葉翅吊橋
獵人之家,布農部落休閒農場,鸞山部落(森林博物館),心雕居,蘭后山莊鄒族文物館,岩板巷
澀水窯,許新旺陶瓷紀念博物館,金門縣陶瓷廠,嘉蘭部落,板陶窯交趾剪黏工藝園區,五榖文化村
龍鳳宮,文昌宮,永安宮,太聖宮,馬公北甲北辰宮,慶誠宮
頭社盆地,麥客田園,清河堂休閒農業區,稻米原鄉館,後壁上茄苳樟樹廊道,稻米故事館
頭社自行車道,日月潭纜車站,霄裡大池(霄裡池),七星潭自行車道,永昌部落,陽明山國家公園
親手窯,慈濟靜思精舍,禮納里部落,小粗坑古道,彙古陶邑,新港三朵花的動人故事
潭南國小(不對外開放參觀),西寶國小,市定古蹟-旗山國小,菁寮國小,禮納里部落,淡水八角塔
潭南村天主教堂,甘泉寺,天主堂,知本天主堂,玉山寶光聖堂,玫瑰聖母聖殿主教座堂
慈恩塔步道,烏來覽勝大橋,清水岩步道群－二棧坪自然山徑,慈母峰登山步道,挑水古道,內湖山步道
內湖山步道,奮起湖杉林棧道,知本林道,奮起步道,鹿廚坑步道,椬梧滯洪池
銃櫃天寶堂,媽宮城隍廟,大甲萬龍宮,淡水福佑宮,台北霞海城隍廟,碧山巖開漳聖王廟
敲敲木工房,大溪木藝生態博物館﹣藝師館,美雅家具觀光工廠,荒木藝術中心,豐園北科大木創中心,台灣工藝之家-精瓶美工藝創作工坊
集集自行車道-綠色隧道段,大眾爺祠（大樟樹）,二寮神木,七步迴音谷,福田賞桐園區步道,太康綠色隧道
涵碧步道,日月潭涵碧步道,日月潭自行車道-水社段,延平河濱公園,瑞太古道,小粗坑古道
添興窯陶藝文化園區,添興窯,板陶窯交趾剪黏工藝園區,許新旺陶瓷紀念博物館,新北市立鶯歌陶瓷博物館,美濃窯
梅荷園,梅山公園,富田香草休閒農場(富田花園農場),梅山遊客中心,梨山遊客中心,賽嘉樂園
啟示玄機院,關山天后宮,昭應宮,三忠廟,鹿港鳳山寺,寧城宮
草湳溼地,台大下坪自然教育園區,碧園,大農大富平地森林園區,三芝田心子,竹圃茶園小木屋休閒農場
紙匠工房,廣興紙寮,綠谷西拉雅,內埔星空廣場,馬力埔休閒農業區,大埔老街
耶穌堂,石門婚紗廣場,圓滿教堂,台灣基督長老教會大稻埕教會,呂厝花帔屋,霧台基督教長老教會
後尖山步道,日月潭後尖山步道,集集大山,水社大山登山步道,力里登山步道,大湖尖山步道區
地利村天主教堂,太平境馬雅各紀念教會,台灣基督長老教會大稻埕教會,霧台基督教長老教會,清河堂休閒農業區,知本天主堂
青龍山步道,日月潭青龍山步道,日月潭涵碧步道,日月潭─月潭自行車道,后厝龍鳳宮,龍埕
蝴蝶園,成功國小蝴蝶園,紅葉公園,雲林縣蝴蝶故事館,茂林紫斑蝶生態公園（紫蝶幽谷）,姿沙里沙里步道
泥炭土活盆地,漳和濕地,紅樹林自然保留區,卯澳漁港,白坑沙灘,大安水蓑衣生態教育園區
武昌宮,慶誠宮,玉井北極殿,安定保安宮,興安宮,新化朝天宮
松柏崙步道,松錦公園,錫口(彩虹)碼頭,台灣工藝之家-松林藝術雕刻中心,日月潭土亭仔步道,土亭仔步道
明潭水庫,水里親水公園,明德水庫風景區,慕谷慕魚,鯉魚潭,夢幻湖
拉魯島,LaLu島(拉魯),紅毛井,原住民祖先發祥地碑,學甲大灣清濟宮,青蓮寺
宏基蜜蜂生態農場,養蜂人家蜂采館,東和蜂文化觀光工廠,橘之鄉蜜餞形象館,耶穌聖心堂,優恩蜜溫室蔬果觀光農園
竹炭一村,造橋木炭博物館,青竹竹文化園區,璞園藝術坊,銅鑼茶廠,峰城炭窯 (木炭的家)
年梯步道,日月潭年梯步道,文興宮,樟山寺,天文宮,齋明寺古道
好茭情/吟詩綠曲茭白筍休閒體驗園區,佳鶯風味餐,羅幸鱒魚休閒農莊,老頭擺農庄,大埔老街,廣州街觀光夜市
人乘寺地藏院,靈嚴寺,圓光禪寺,八仙山寶林禪寺,禪林寺,德源禪寺
地母廟,埔里寶湖宮地母廟,大化宮,荷苞山地母廟,三忠廟,關山天后宮
玄奘寺,玄光寺,九華山地藏庵,東山禪寺,護國寺,靈嚴寺
向山眺望平台,日月潭纜車站,烏石港遊客中心,水尾景觀公園,山水30高地公園,水社大山登山步道
玄光寺,玄奘寺,東山禪寺,財團法人劍潭古寺,廣安宮,齋明寺古道
正德大佛,千佛山菩提寺,中台世界博物館,彩虹山大佛,靈嚴寺,人乘寺地藏院
特有生物研究保育中心,關渡自然公園,大坪頂熱帶植物園,壽山動物園,杜園,大鴕家觀光休閒農場
楓樺台一渡假村,擁葉生態農場,三芝田心子,皇后鎮森林,澄霖味道森林館,臺中中央公園
牛耳藝術渡假村,喜樂發發森林公園,澄霖味道森林館,牛埔農塘,碧園,福林公園
